Réseau;Station;Trafic;Correspondance_1;stop_name;coord;stop_lat;stop_lon
Métro;DENFERT-ROCHEREAU;4701323;4;DENFERT-ROCHEREAU;48.9340883794, 2.35028134237;48.93408837938154;2.3502813423714684
Métro;DENFERT-ROCHEREAU;4701323;4;DENFERT-ROCHEREAU;48.9340883794, 2.35028134237;48.93408837938154;2.3502813423714684
Métro;ARTS ET METIERS;3899198;3;ARTS ET METIERS;48.8658123175, 2.357211674;48.86581231751377;2.357211673996915
Métro;ARTS ET METIERS;3899198;3;ARTS ET METIERS;48.8658123175, 2.357211674;48.86581231751377;2.357211673996915
Métro;ARTS ET METIERS;3899198;3;ARTS ET METIERS;48.8651922345, 2.35693898818;48.86519223447785;2.356938988179183
Métro;ARTS ET METIERS;3899198;3;ARTS ET METIERS;48.8658123175, 2.357211674;48.86581231751377;2.357211673996915
Métro;PASSY;3835814;6;;;;
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8280127514, 2.27220007005;48.828012751354464;2.2722000700485663
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8277883124, 2.27266317786;48.82778831241942;2.272663177862002
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8063562651, 2.23868613272;48.80635626509692;2.238686132716897
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8063562651, 2.23868613272;48.80635626509692;2.238686132716897
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8596237163, 2.43834898977;48.859623716327974;2.4383489897739583
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8589057747, 2.47339370759;48.85890577468561;2.4733937075926358
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8189930543, 2.41098131711;48.818993054291774;2.4109813171069656
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8589057747, 2.47339370759;48.85890577468561;2.4733937075926358
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8590759895, 2.47387088142;48.859075989520655;2.473870881419788
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8217884362, 2.30397587005;48.82178843615304;2.3039758700454707
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.821653708, 2.30428900784;48.821653707987906;2.304289007835095
Métro;VICTOR HUGO;3802054;2;VICTOR HUGO;48.8872883931, 2.27907604291;48.887288393109046;2.279076042909763
